"","Loop_number","No_loop","Loop"
"1",1,0,1
"2",0,0,1
"3",2,0,1
"4",7,0,1
"5",7,0,1
"6",0,0,1
"7",0,0,1
"8",1,0,1
"9",3,0,1
"10",0,0,1
"11",6,0,1
"12",0,0,1
"13",2,0,1
"14",0,0,1
"15",4,0,1
"16",2,0,1
"17",0,0,1
"18",0,0,1
"19",1,0,1
"20",1,0,1
"21",1,0,1
"22",4,0,1
"23",0,0,1
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",2,0,1
"28",0,0,1
"29",4,0,1
"30",2,0,1
"31",4,0,1
"32",7,0,1
"33",1,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",3,0,1
"38",5,0,1
"39",2,0,1
"40",1,0,1
"41",1,0,1
"42",1,0,1
"43",14,0,1
"44",1,0,1
"45",3,0,1
"46",0,0,1
"47",4,0,1
"48",2,0,1
"49",2,0,1
"50",0,0,1
"51",0,0,1
"52",3,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",0,0,1
"58",4,0,1
"59",1,0,1
"60",4,0,1
"61",1,0,1
"62",1,0,1
"63",0,0,1
"64",0,0,1
"65",6,0,1
"66",5,0,1
"67",0,0,1
"68",4,0,1
"69",3,0,1
"70",0,0,1
"71",15,0,1
"72",10,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",4,0,1
"77",2,0,1
"78",1,0,1
"79",4,0,1
"80",2,0,1
"81",0,0,1
"82",5,0,1
"83",4,0,1
"84",4,0,1
"85",5,0,1
"86",0,0,1
"87",5,0,1
"88",0,0,1
"89",3,0,1
"90",1,0,1
"91",0,0,1
"92",0,0,1
"93",5,0,1
"94",10,0,1
"95",0,0,1
"96",2,0,1
"97",0,0,1
"98",13,0,1
"99",5,0,1
"100",0,0,1
"101",1,0,1
"102",0,0,1
"103",1,0,1
"104",2,0,1
"105",1,0,1
"106",0,0,1
"107",0,0,1
"108",0,0,1
"109",3,0,1
"110",0,0,1
"111",1,0,1
"112",0,0,1
"113",1,0,1
"114",0,0,1
"115",3,0,1
"116",1,0,1
"117",3,0,1
"118",2,0,1
"119",2,0,1
"120",2,0,1
"121",0,0,1
"122",0,0,1
"123",0,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",7,0,1
"128",3,0,1
"129",3,0,1
"130",6,0,1
"131",2,0,1
"132",6,0,1
"133",0,0,1
"134",4,0,1
"135",9,0,1
"136",2,0,1
