"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",47,0,1
"3",3,0,1
"4",36,0,1
"5",3,0,1
"6",2,0,1
"7",5,0,1
"8",0,0,1
"9",2,0,1
"10",4,0,1
"11",8,0,1
"12",0,0,1
"13",6,0,1
"14",0,0,1
"15",5,0,1
"16",5,0,1
"17",0,0,1
"18",35,0,1
"19",37,0,1
"20",0,0,1
"21",5,0,1
"22",9,0,1
"23",2,0,1
"24",2,0,1
"25",1,0,1
"26",5,0,1
"27",0,0,1
"28",2,0,1
"29",6,0,1
"30",0,0,1
"31",2,0,1
"32",0,0,1
"33",28,0,1
"34",59,0,1
"35",0,0,1
"36",2,0,1
"37",0,0,1
"38",1,0,1
"39",2,0,1
"40",0,0,1
"41",0,0,1
"42",1,0,1
"43",3,0,1
"44",3,0,1
"45",4,0,1
"46",4,0,1
"47",0,0,1
"48",63,0,1
"49",22,0,1
"50",2,0,1
"51",8,0,1
"52",5,0,1
"53",2,0,1
"54",1,0,1
"55",1,0,1
"56",5,0,1
"57",2,0,1
"58",13,0,1
"59",2,0,1
"60",2,0,1
"61",1,0,1
"62",0,0,1
"63",16,0,1
"64",46,0,1
"65",2,0,1
"66",2,0,1
"67",1,0,1
"68",2,0,1
"69",2,0,1
"70",2,0,1
"71",1,0,1
"72",2,0,1
"73",0,0,1
"74",6,0,1
"75",5,0,1
"76",3,0,1
"77",0,0,1
"78",2,0,1
"79",0,0,1
"80",0,0,1
"81",2,0,1
"82",25,0,1
"83",2,0,1
"84",3,0,1
"85",4,0,1
"86",0,0,1
"87",2,0,1
"88",1,0,1
"89",2,0,1
"90",0,0,1
"91",2,0,1
"92",1,0,1
"93",0,0,1
"94",0,0,1
"95",0,0,1
"96",0,0,1
"97",65,0,1
"98",43,0,1
"99",122,0,1
"100",19,0,1
"101",6,0,1
"102",16,0,1
"103",0,0,1
"104",2,0,1
"105",27,0,1
"106",0,0,1
"107",27,0,1
"108",0,0,1
"109",4,0,1
"110",4,0,1
"111",9,0,1
"112",0,0,1
"113",23,0,1
"114",1,0,1
"115",2,0,1
"116",6,0,1
"117",0,0,1
"118",1,0,1
"119",4,0,1
"120",2,0,1
"121",0,0,1
"122",12,0,1
"123",1,0,1
"124",3,0,1
"125",6,0,1
"126",0,0,1
"127",9,0,1
"128",70,0,1
"129",3,0,1
"130",2,0,1
"131",1,0,1
"132",1,0,1
"133",2,0,1
"134",0,0,1
"135",0,0,1
"136",0,0,1
"137",3,0,1
"138",2,0,1
"139",3,0,1
"140",1,0,1
"141",0,0,1
"142",49,0,1
"143",16,0,1
"144",4,0,1
"145",0,0,1
"146",1,0,1
"147",2,0,1
"148",2,0,1
"149",2,0,1
"150",1,0,1
"151",0,0,1
"152",1,0,1
"153",1,0,1
"154",0,0,1
"155",3,0,1
"156",0,0,1
"157",27,0,1
"158",25,0,1
"159",1,0,1
"160",4,0,1
"161",6,0,1
"162",2,0,1
"163",1,0,1
"164",0,0,1
"165",3,0,1
"166",10,0,1
"167",4,0,1
"168",6,0,1
"169",3,0,1
"170",1,0,1
"171",0,0,1
"172",71,0,1
"173",100,0,1
"174",3,0,1
"175",0,0,1
"176",1,0,1
"177",3,0,1
"178",17,0,1
"179",12,0,1
"180",12,0,1
"181",17,0,1
"182",1,0,1
"183",13,0,1
"184",9,0,1
"185",0,0,1
"186",0,0,1
"187",94,0,1
"188",21,0,1
"189",2,0,1
"190",2,0,1
"191",2,0,1
"192",4,0,1
"193",0,0,1
"194",2,0,1
"195",3,0,1
"196",4,0,1
"197",3,0,1
"198",2,0,1
"199",3,0,1
"200",0,0,1
"201",0,0,1
"202",38,0,1
"203",19,0,1
"204",11,0,1
"205",4,0,1
"206",7,0,1
"207",0,0,1
"208",8,0,1
"209",0,0,1
"210",7,0,1
"211",9,0,1
"212",9,0,1
"213",0,0,1
"214",3,0,1
"215",1,0,1
"216",8,0,1
"217",0,0,1
"218",61,0,1
"219",40,0,1
"220",7,0,1
"221",7,0,1
"222",4,0,1
"223",6,0,1
"224",4,0,1
"225",3,0,1
"226",8,0,1
"227",1,0,1
"228",3,0,1
"229",7,0,1
"230",2,0,1
"231",6,0,1
"232",0,0,1
"233",66,0,1
"234",0,0,1
"235",0,0,1
"236",5,0,1
"237",0,0,1
"238",0,0,1
"239",2,0,1
"240",0,0,1
"241",0,0,1
"242",0,0,1
"243",0,0,1
"244",0,0,1
"245",0,0,1
"246",0,0,1
"247",38,0,1
"248",36,0,1
"249",56,0,1
"250",32,0,1
"251",32,0,1
"252",27,0,1
"253",7,0,1
"254",18,0,1
"255",1,0,1
"256",2,0,1
"257",28,0,1
"258",28,0,1
"259",0,0,1
"260",36,0,1
"261",3,0,1
"262",0,0,1
"263",65,0,1
"264",0,0,1
"265",0,0,1
"266",1,0,1
"267",0,0,1
"268",0,0,1
"269",1,0,1
"270",1,0,1
"271",0,0,1
"272",0,0,1
"273",0,0,1
"274",0,0,1
"275",1,0,1
"276",1,0,1
"277",0,0,1
"278",7,0,1
"279",2,0,1
"280",0,0,1
"281",0,0,1
"282",1,0,1
"283",1,0,1
"284",2,0,1
"285",0,0,1
"286",1,0,1
"287",0,0,1
"288",1,0,1
"289",1,0,1
"290",2,0,1
"291",0,0,1
"292",0,0,1
"293",33,0,1
"294",1,0,1
"295",0,0,1
"296",1,0,1
"297",2,0,1
"298",0,0,1
"299",3,0,1
"300",9,0,1
"301",1,0,1
"302",1,0,1
"303",3,0,1
"304",1,0,1
"305",6,0,1
"306",0,0,1
"307",36,0,1
"308",95,0,1
"309",1,0,1
"310",4,0,1
"311",1,0,1
"312",2,0,1
"313",5,0,1
"314",5,0,1
"315",10,0,1
"316",6,0,1
"317",2,0,1
"318",5,0,1
"319",3,0,1
"320",4,0,1
"321",0,0,1
"322",54,0,1
"323",38,0,1
"324",29,0,1
"325",8,0,1
"326",4,0,1
"327",1,0,1
"328",8,0,1
"329",1,0,1
"330",6,0,1
"331",1,0,1
"332",9,0,1
"333",2,0,1
"334",3,0,1
"335",4,0,1
"336",9,0,1
"337",0,0,1
"338",31,0,1
"339",73,0,1
"340",35,0,1
"341",1,0,1
"342",25,0,1
"343",31,0,1
"344",23,0,1
"345",16,0,1
"346",17,0,1
"347",9,0,1
"348",0,0,1
"349",24,0,1
"350",1,0,1
"351",29,0,1
"352",0,0,1
"353",0,0,1
"354",16,0,1
"355",63,0,1
"356",7,0,1
"357",14,0,1
"358",0,0,1
"359",7,0,1
"360",4,0,1
"361",6,0,1
"362",7,0,1
"363",1,0,1
"364",0,0,1
"365",7,0,1
"366",14,0,1
"367",8,0,1
"368",0,0,1
"369",21,0,1
"370",0,0,1
"371",1,0,1
"372",0,0,1
"373",5,0,1
"374",0,0,1
"375",0,0,1
"376",1,0,1
"377",0,0,1
"378",0,0,1
"379",0,0,1
"380",2,0,1
"381",0,0,1
"382",0,0,1
"383",44,0,1
"384",28,0,1
"385",3,0,1
"386",10,0,1
"387",3,0,1
"388",8,0,1
"389",1,0,1
"390",0,0,1
"391",2,0,1
"392",5,0,1
"393",4,0,1
"394",6,0,1
"395",3,0,1
"396",1,0,1
"397",7,0,1
"398",0,0,1
"399",100,0,1
"400",88,0,1
"401",10,0,1
"402",1,0,1
"403",16,0,1
"404",0,0,1
"405",9,0,1
"406",2,0,1
"407",4,0,1
"408",7,0,1
"409",8,0,1
"410",11,0,1
"411",2,0,1
"412",2,0,1
"413",0,0,1
"414",23,0,1
"415",2,0,1
"416",10,0,1
"417",1,0,1
"418",0,0,1
"419",4,0,1
"420",2,0,1
"421",0,0,1
"422",2,0,1
"423",2,0,1
"424",2,0,1
"425",1,0,1
"426",3,0,1
"427",0,0,1
"428",44,0,1
"429",0,0,1
"430",4,0,1
"431",0,0,1
"432",0,0,1
"433",0,0,1
"434",0,0,1
"435",0,0,1
"436",1,0,1
"437",1,0,1
"438",4,0,1
"439",0,0,1
"440",0,0,1
"441",0,0,1
"442",0,0,1
"443",25,0,1
"444",42,0,1
"445",0,0,1
"446",6,0,1
"447",4,0,1
"448",6,0,1
"449",1,0,1
"450",2,0,1
"451",7,0,1
"452",6,0,1
"453",20,0,1
"454",5,0,1
"455",0,0,1
"456",0,0,1
"457",0,0,1
"458",40,0,1
"459",4,0,1
"460",11,0,1
"461",1,0,1
"462",8,0,1
"463",0,0,1
"464",3,0,1
"465",3,0,1
"466",0,0,1
"467",10,0,1
"468",6,0,1
"469",12,0,1
"470",14,0,1
"471",0,0,1
"472",22,0,1
"473",108,0,1
"474",18,0,1
"475",5,0,1
"476",4,0,1
"477",15,0,1
"478",4,0,1
"479",8,0,1
"480",2,0,1
"481",4,0,1
"482",10,0,1
"483",2,0,1
"484",4,0,1
"485",4,0,1
"486",3,0,1
"487",0,0,1
"488",50,0,1
"489",67,0,1
"490",85,0,1
"491",6,0,1
"492",12,0,1
"493",10,0,1
"494",10,0,1
"495",2,0,1
"496",13,0,1
"497",13,0,1
"498",5,0,1
"499",18,0,1
"500",18,0,1
"501",2,0,1
"502",10,0,1
"503",0,0,1
"504",42,0,1
"505",3,0,1
"506",0,0,1
"507",0,0,1
"508",7,0,1
"509",0,0,1
"510",1,0,1
"511",0,0,1
"512",5,0,1
"513",9,0,1
"514",1,0,1
"515",8,0,1
"516",1,0,1
"517",0,0,1
"518",0,0,1
"519",37,0,1
"520",116,0,1
"521",58,0,1
"522",8,0,1
"523",1,0,1
"524",0,0,1
"525",7,0,1
"526",9,0,1
"527",2,0,1
"528",18,0,1
"529",12,0,1
"530",11,0,1
"531",6,0,1
"532",6,0,1
"533",2,0,1
"534",0,0,1
"535",82,0,1
"536",54,0,1
"537",21,0,1
"538",149,0,1
"539",40,0,1
"540",56,0,1
"541",34,0,1
"542",39,0,1
"543",25,0,1
"544",25,0,1
"545",28,0,1
"546",0,0,1
"547",6,0,1
"548",16,0,1
"549",17,0,1
"550",2,0,1
"551",0,0,1
"552",34,0,1
"553",38,0,1
"554",42,0,1
"555",0,0,1
"556",8,0,1
"557",2,0,1
"558",16,0,1
"559",9,0,1
"560",1,0,1
"561",8,0,1
"562",5,0,1
"563",7,0,1
"564",0,0,1
