"","V1","Loop_number","No_loop","Loop"
"1","metH",2,0,1
"2","wcaF",0,0,1
"3","waaH",1,0,1
"4","ytfF",0,0,1
"5","btsT",2,0,1
"6","hyfD",6,0,1
"7","rutD",1,0,1
"8","aas",0,0,1
"9","trmJ",0,0,1
"10","tmk",0,0,1
"11","pspF",0,0,1
"12","yfaX",0,0,1
"13","oxyR",4,0,1
"14","btsT",2,0,1
"15","glnQ",9,0,1
"16","ddpF",1,0,1
"17","ydeN",4,0,1
"18","yeaV",0,0,1
"19","fruB",0,0,1
"20","focB",6,0,1
"21","lgoT",0,0,1
"22","ivy",0,0,1
"23","yaiY",2,0,1
"24","ldtB",0,0,1
"25","ycfJ",0,0,1
"26","ydcF",0,0,1
"27","mgrB",0,0,1
"28","letB",0,0,1
"29","yodD",0,0,1
"30","rcsD",1,0,1
"31","hda",0,0,1
"32","pgpC",0,0,1
"33","kbp",1,0,1
"34","ygaP",0,0,1
"35","lplT",0,0,1
"36","yhdN",0,0,1
"37","yhiJ",0,0,1
"38","yicN",0,0,1
"39","psiE",2,0,1
"40","yjcB",0,0,1
"41","pdeC",0,0,1
"42","qorB",0,0,1
"43","bglJ",3,0,1
"44","cheR",0,0,1
"45","cheW",0,0,1
"46","dppC",7,0,1
"47","hslJ",1,0,1
"48","proP",3,0,1
"49","rcsA",6,0,1
"50","htpX",1,0,1
"51","miaA",2,0,1
"52","proV",7,0,1
"53","dinJ",7,0,1
"54","ybfA",0,0,1
"55","yccA",1,0,1
"56","ygiW",0,0,1
"57","yjiA",0,0,1
"58","yjiX",0,0,1
"59","recA",2,0,1
"60","slt",1,0,1
"61","ybjX",2,0,1
"62","ynfB",3,0,1
"63","fadR",2,0,1
"64","mdtJ",2,0,1
"65","ndh",12,0,1
"66","oppD",2,0,1
"67","yjeJ",0,0,1
"68","yjgM",0,0,1
"69","yieP",0,0,1
"70","yciE",2,0,1
"71","yciF",0,0,1
"72","yciG",0,0,1
"73","mlrA",2,0,1
"74","fdhF",3,0,1
"75","nrfD",4,0,1
"76","ytfE",1,0,1
"77","glnL",4,0,1
"78","metJ",1,0,1
"79","yjjI",0,0,1
"80","fepD",1,0,1
"81","ybiV",0,0,1
"82","galP",9,0,1
"83","ispA",0,0,1
"84","ypeC",0,0,1
"85","rplY",2,0,1
"86","soxS",10,0,1
"87","ynfM",0,0,1
"88","ydbK",0,0,1
"89","osmE",9,0,1
"90","rof",0,0,1
"91","holB",0,0,1
"92","ldhA",0,0,1
"93","rbfA",4,0,1
"94","proW",7,0,1
"95","rdgC",0,0,1
"96","nrdA",6,0,1
"97","evgA",2,0,1
"98","dcrB",0,0,1
"99","asnB",1,0,1
"100","ytfH",0,0,1
"101","treF",0,0,1
"102","yeaY",0,0,1
"103","cbl",5,0,1
"104","yceK",0,0,1
"105","uspG",0,0,1
