"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",12,0,1
"3",4,0,1
"4",6,0,1
"5",4,0,1
"6",0,0,1
"7",5,0,1
"8",1,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",4,0,1
"14",0,0,1
"15",9,0,1
"16",0,0,1
"17",1,0,1
"18",0,0,1
"19",1,0,1
"20",2,0,1
"21",0,0,1
"22",1,0,1
"23",1,0,1
"24",0,0,1
"25",2,0,1
"26",0,0,1
"27",8,0,1
"28",3,0,1
"29",3,0,1
"30",0,0,1
"31",3,0,1
"32",1,0,1
"33",4,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",1,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",4,0,1
"49",1,0,1
"50",1,0,1
"51",1,0,1
"52",1,0,1
"53",1,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",1,0,1
"58",1,0,1
"59",0,0,1
"60",19,0,1
"61",4,0,1
"62",3,0,1
"63",1,0,1
"64",3,0,1
"65",0,0,1
"66",1,0,1
"67",1,0,1
"68",1,0,1
"69",0,0,1
"70",0,0,1
"71",2,0,1
"72",0,0,1
"73",15,0,1
"74",21,0,1
"75",3,0,1
"76",4,0,1
"77",4,0,1
"78",2,0,1
"79",4,0,1
"80",6,0,1
"81",0,0,1
"82",0,0,1
"83",5,0,1
"84",3,0,1
"85",0,0,1
"86",26,0,1
"87",2,0,1
"88",2,0,1
"89",1,0,1
"90",0,0,1
"91",0,0,1
"92",3,0,1
"93",0,0,1
"94",8,0,1
"95",5,0,1
"96",4,0,1
"97",0,0,1
"98",11,0,1
"99",15,0,1
"100",2,0,1
"101",1,0,1
"102",2,0,1
"103",5,0,1
"104",5,0,1
"105",4,0,1
"106",4,0,1
"107",2,0,1
"108",0,0,1
"109",21,0,1
"110",18,0,1
"111",1,0,1
"112",1,0,1
"113",7,0,1
"114",1,0,1
"115",6,0,1
"116",3,0,1
"117",0,0,1
"118",7,0,1
"119",0,0,1
"120",0,0,1
"121",4,0,1
"122",1,0,1
"123",1,0,1
"124",1,0,1
"125",1,0,1
"126",0,0,1
"127",1,0,1
"128",0,0,1
"129",0,0,1
"130",1,0,1
"131",0,0,1
"132",27,0,1
"133",1,0,1
"134",11,0,1
"135",2,0,1
"136",2,0,1
"137",0,0,1
"138",6,0,1
"139",2,0,1
"140",5,0,1
"141",7,0,1
