"","V1","FBL_number","No_FBL","FBL"
"1","hisC",0,0,1
"2","livK",0,0,1
"3","tesA",0,0,1
"4","trpD",0,0,1
"5","tcyL",0,0,1
"6","garD",0,0,1
"7","garL",0,0,1
"8","sgbH",0,0,1
"9","uxuB",0,0,1
"10","hcxB",0,0,1
"11","rihA",0,0,1
"12","rihC",0,0,1
"13","ccmC",0,0,1
"14","nohD",0,0,1
"15","sbcB",0,0,1
"16","insH10",0,0,1
"17","insH11",0,0,1
"18","insH3",0,0,1
"19","insH4",0,0,1
"20","insH5",0,0,1
"21","insH6",0,0,1
"22","insH7",0,0,1
"23","insH8",0,0,1
"24","insH9",0,0,1
"25","dgcT",0,0,1
"26","fabR",0,0,1
"27","grcA",0,0,1
"28","cdaR",0,0,1
"29","alaE",0,0,1
"30","yhcE",0,0,1
"31","iraD",0,0,1
"32","ymfL",0,0,1
"33","ypdK",0,0,1
"34","yjbT",0,0,1
"35","livJ",0,0,1
"36","malE",0,0,1
"37","ghxP",0,0,1
"38","ybdL",0,0,1
"39","bssS",0,0,1
"40","yibT",0,0,1
"41","metL",0,0,1
"42","metA",0,0,1
"43","atoD",0,0,1
"44","atoA",0,0,1
"45","rhaA",0,0,1
"46","ykgJ",0,0,1
"47","ybiJ",0,0,1
"48","azoR",0,0,1
"49","yncJ",0,0,1
"50","yhaK",0,0,1
"51","pspG",0,0,1
"52","chiX",0,0,1
"53","ybeD",0,0,1
"54","hspQ",0,0,1
"55","norR",0,0,1
"56","argH",0,0,1
"57","sokX",0,0,1
"58","micA",0,0,1
"59","bssR",0,0,1
"60","ldtE",0,0,1
"61","fklB",0,0,1
"62","tomB",0,0,1
"63","chiP",0,0,1
"64","chiQ",0,0,1
"65","dgcZ",0,0,1
"66","yoaI",0,0,1
"67","hisL",0,0,1
"68","yfgG",0,0,1
"69","gcvB",16,0,1
"70","ryhB",15,0,1
"71","ydcV",0,0,1
"72","patD",0,0,1
"73","rhaS",0,0,1
"74","osmY",0,0,1
"75","asr",0,0,1
"76","ycaC",0,0,1
"77","dps",0,0,1
