"","V1","FBL_number","No_FBL","FBL"
"1","cfa",0,0,1
"2","yeaQ",0,0,1
"4","arnB",0,0,1
"6","slp",0,0,1
"7","hdeB",0,0,1
"8","hdeD",0,0,1
"9","osmY",0,0,1
"10","cbpA",0,0,1
"11","hdeA",0,0,1
"12","yahO",0,0,1
"13","yccJ",0,0,1
"14","asr",0,0,1
"15","ydiZ",0,0,1
"16","yebV",0,0,1
"17","yhiM",0,0,1
"18","wrbA",0,0,1
"20","wzzE",0,0,1
"21","glsA",0,0,1
"22","ycaC",0,0,1
"23","gadB",0,0,1
"24","gadA",0,0,1
"25","gadE",69,0,1
"26","gadX",110,0,1
"27","yiaG",0,0,1
"28","dps",0,0,1
"29","ybaT",0,0,1
"31","aceK",0,0,1
"32","acnA",0,0,1
"33","add",0,0,1
"34","ahpF",0,0,1
"35","alaT",0,0,1
"36","alaU",0,0,1
"37","aroA",0,0,1
"38","aroH",0,0,1
"39","aroP",0,0,1
"40","bcsE",0,0,1
"42","cyoB",0,0,1
"43","dadA",0,0,1
"44","dadX",0,0,1
"46","alx",0,0,1
"47","atpH",0,0,1
"48","bax",0,0,1
"49","bioB",0,0,1
"50","borD",0,0,1
"51","btuB",0,0,1
"52","cirA",0,0,1
"53","cpxA",0,0,1
"55","dcuR",0,0,1
"56","artM",0,0,1
"57","asnA",0,0,1
"58","aspA",0,0,1
"59","atpA",0,0,1
"60","atpB",0,0,1
"61","atpC",0,0,1
"63","atpE",0,0,1
"64","atpF",0,0,1
"65","atpG",0,0,1
"66","atpI",0,0,1
"69","cdd",0,0,1
"70","cheA",0,0,1
"71","cheB",0,0,1
"72","cheR",0,0,1
"73","cheW",0,0,1
"75","cheZ",0,0,1
"76","clpB",0,0,1
"77","clpX",0,0,1
"79","deoB",0,0,1
"80","deoC",0,0,1
"81","deoD",0,0,1
"83","dcyD",0,0,1
"84","dhaM",0,0,1
"85","dhaK",0,0,1
"86","edd",0,0,1
"87","eno",0,0,1
"88","fdoG",0,0,1
"89","fimA",0,0,1
"90","fimC",0,0,1
"91","fimI",0,0,1
"92","flgH",0,0,1
"93","flhA",0,0,1
"94","flhE",0,0,1
"95","fliP",0,0,1
"96","fliQ",0,0,1
"98","fumA",0,0,1
"99","gapC",0,0,1
"100","dcuS",0,0,1
"101","dppC",0,0,1
"102","dusA",0,0,1
"103","eco",0,0,1
"104","fdhD",0,0,1
"105","fhuD",0,0,1
"106","folP",0,0,1
"107","frdA",0,0,1
"108","frdC",0,0,1
"109","ftnB",0,0,1
"110","fucI",0,0,1
"111","gcvH",0,0,1
"112","carA",0,0,1
"113","coaA",0,0,1
"114","codB",0,0,1
"115","cspD",0,0,1
"116","cvpA",0,0,1
"117","cydA",0,0,1
"119","cydC",0,0,1
"120","cydD",0,0,1
"121","dnaJ",0,0,1
"122","dnaK",0,0,1
"124","fdoH",0,0,1
"125","flgB",0,0,1
"126","flgC",0,0,1
"127","flgD",0,0,1
"128","flgE",0,0,1
"129","flgF",0,0,1
"130","flgG",0,0,1
"131","flgI",0,0,1
"132","flgJ",0,0,1
"133","flgK",0,0,1
"134","flgL",0,0,1
"135","gatA",0,0,1
"136","gatB",0,0,1
"137","gatC",0,0,1
"138","gatD",0,0,1
"139","gatZ",0,0,1
"140","glcC",0,0,1
"141","gltA",0,0,1
"142","gltB",0,0,1
"143","gltD",0,0,1
"144","gpmA",0,0,1
"145","grxA",0,0,1
"146","gshA",0,0,1
"147","gshB",0,0,1
"149","hsdR",0,0,1
"151","hslJ",0,0,1
"152","iap",0,0,1
"153","idi",0,0,1
"154","ispF",0,0,1
"155","kgtP",0,0,1
"157","lldD",0,0,1
"158","lpxD",0,0,1
"159","lysC",0,0,1
"160","map",0,0,1
"161","marB",0,0,1
"162","marR",6,0,1
"164","mdtG",0,0,1
"165","menF",0,0,1
"166","metN",0,0,1
"167","mltC",0,0,1
"168","mqo",0,0,1
"172","nuoC",0,0,1
"173","nuoN",0,0,1
"174","pdhR",0,0,1
"175","pdxY",0,0,1
"176","proP",0,0,1
"177","rbsA",0,0,1
"178","rbsC",0,0,1
"179","rcsA",6,0,1
"180","rimI",0,0,1
"181","rpoE",201,0,1
"182","rseA",0,0,1
"185","sdhB",0,0,1
"187","gcvT",0,0,1
"188","glgS",0,0,1
"189","glpA",0,0,1
"191","hflK",0,0,1
"192","hflX",0,0,1
"193","htpX",0,0,1
"194","ilvB",0,0,1
"196","ilvN",0,0,1
"197","ivbL",0,0,1
"198","katG",0,0,1
"199","maa",0,0,1
"200","manX",0,0,1
"202","miaA",0,0,1
"203","mutL",0,0,1
"204","nadA",0,0,1
"205","nmpC",0,0,1
"206","nrdD",0,0,1
"207","nrdG",0,0,1
"208","rppH",0,0,1
"209","yjdM",0,0,1
"210","pitA",0,0,1
"211","pntA",0,0,1
"212","ppiA",0,0,1
"213","pppA",0,0,1
"214","proV",0,0,1
"215","purD",0,0,1
"216","purL",0,0,1
"217","purN",0,0,1
"218","putA",0,0,1
"219","recR",0,0,1
"220","rpoH",183,0,1
"221","rzpD",0,0,1
"222","sdaB",0,0,1
"223","sdaC",0,0,1
"224","secD",0,0,1
"226","dinI",0,0,1
"227","dinJ",1,0,1
"228","eptB",0,0,1
"229","fadL",0,0,1
"230","folD",0,0,1
"231","fucR",0,0,1
"232","glmU",0,0,1
"233","glpB",0,0,1
"234","glpC",0,0,1
"235","flgM",0,0,1
"236","flgN",0,0,1
"237","fliA",8,0,1
"239","fliD",0,0,1
"240","fliE",0,0,1
