"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",11,0,1
"3",8,0,1
"4",6,0,1
"5",5,0,1
"6",0,0,1
"7",4,0,1
"8",1,0,1
"9",0,0,1
"10",1,0,1
"11",0,0,1
"12",1,0,1
"13",4,0,1
"14",0,0,1
"15",15,0,1
"16",0,0,1
"17",0,0,1
"18",0,0,1
"19",1,0,1
"20",2,0,1
"21",0,0,1
"22",0,0,1
"23",0,0,1
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",30,0,1
"28",3,0,1
"29",3,0,1
"30",0,0,1
"31",2,0,1
"32",0,0,1
"33",4,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",7,0,1
"49",4,0,1
"50",0,0,1
"51",0,0,1
"52",0,0,1
"53",1,0,1
"54",0,0,1
"55",0,0,1
"56",1,0,1
"57",0,0,1
"58",1,0,1
"59",0,0,1
"60",35,0,1
"61",15,0,1
"62",6,0,1
"63",0,0,1
"64",6,0,1
"65",0,0,1
"66",0,0,1
"67",2,0,1
"68",0,0,1
"69",1,0,1
"70",0,0,1
"71",3,0,1
"72",0,0,1
"73",23,0,1
"74",46,0,1
"75",2,0,1
"76",6,0,1
"77",8,0,1
"78",2,0,1
"79",3,0,1
"80",13,0,1
"81",1,0,1
"82",0,0,1
"83",10,0,1
"84",4,0,1
"85",0,0,1
"86",42,0,1
"87",3,0,1
"88",2,0,1
"89",0,0,1
"90",0,0,1
"91",1,0,1
"92",2,0,1
"93",0,0,1
"94",10,0,1
"95",4,0,1
"96",3,0,1
"97",0,0,1
"98",49,0,1
"99",38,0,1
"100",5,0,1
"101",1,0,1
"102",2,0,1
"103",3,0,1
"104",12,0,1
"105",8,0,1
"106",1,0,1
"107",0,0,1
"108",0,0,1
"109",43,0,1
"110",26,0,1
"111",1,0,1
"112",0,0,1
"113",5,0,1
"114",0,0,1
"115",11,0,1
"116",0,0,1
"117",1,0,1
"118",5,0,1
"119",0,0,1
"120",0,0,1
"121",1,0,1
"122",1,0,1
"123",1,0,1
"124",6,0,1
"125",4,0,1
"126",0,0,1
"127",3,0,1
"128",0,0,1
"129",0,0,1
"130",2,0,1
"131",0,0,1
"132",82,0,1
"133",27,0,1
"134",26,0,1
"135",3,0,1
"136",2,0,1
"137",1,0,1
"138",11,0,1
"139",9,0,1
"140",13,0,1
"141",15,0,1
"142",10,0,1
"143",0,0,1
"144",20,0,1
"145",3,0,1
"146",3,0,1
"147",0,0,1
"148",1,0,1
"149",2,0,1
"150",1,0,1
"151",0,0,1
"152",0,0,1
"153",2,0,1
"154",0,0,1
"155",1,0,1
"156",0,0,1
"157",51,0,1
"158",0,0,1
"159",0,0,1
"160",1,0,1
"161",0,0,1
"162",1,0,1
"163",3,0,1
"164",0,0,1
"165",0,0,1
"166",0,0,1
"167",3,0,1
"168",0,0,1
"169",6,0,1
"170",1,0,1
"171",0,0,1
"172",3,0,1
"173",1,0,1
"174",2,0,1
"175",1,0,1
"176",4,0,1
"177",0,0,1
"178",0,0,1
"179",5,0,1
"180",60,0,1
"181",14,0,1
"182",0,0,1
"183",1,0,1
"184",4,0,1
"185",0,0,1
"186",2,0,1
"187",21,0,1
"188",12,0,1
"189",0,0,1
"190",0,0,1
"191",37,0,1
"192",2,0,1
"193",2,0,1
"194",0,0,1
"195",4,0,1
"196",2,0,1
"197",1,0,1
"198",0,0,1
"199",0,0,1
"200",0,0,1
"201",33,0,1
"202",42,0,1
"203",8,0,1
"204",6,0,1
"205",0,0,1
"206",11,0,1
"207",0,0,1
"208",0,0,1
"209",0,0,1
"210",0,0,1
"211",2,0,1
"212",0,0,1
"213",39,0,1
"214",50,0,1
"215",0,0,1
"216",0,0,1
"217",1,0,1
"218",1,0,1
"219",7,0,1
"220",1,0,1
"221",9,0,1
"222",14,0,1
"223",7,0,1
"224",1,0,1
"225",0,0,1
"226",68,0,1
"227",13,0,1
"228",3,0,1
"229",3,0,1
"230",7,0,1
"231",0,0,1
"232",3,0,1
"233",0,0,1
"234",9,0,1
"235",8,0,1
"236",0,0,1
"237",0,0,1
"238",44,0,1
"239",1,0,1
"240",1,0,1
"241",1,0,1
"242",0,0,1
"243",3,0,1
"244",1,0,1
"245",0,0,1
"246",5,0,1
"247",5,0,1
"248",0,0,1
"249",80,0,1
"250",84,0,1
"251",34,0,1
"252",29,0,1
"253",15,0,1
"254",33,0,1
"255",11,0,1
"256",25,0,1
"257",23,0,1
"258",3,0,1
"259",0,0,1
"260",4,0,1
"261",1,0,1
"262",14,0,1
"263",0,0,1
"264",12,0,1
"265",1,0,1
"266",0,0,1
"267",1,0,1
"268",1,0,1
"269",0,0,1
"270",0,0,1
"271",1,0,1
"272",1,0,1
"273",0,0,1
"274",1,0,1
"275",0,0,1
"276",2,0,1
"277",1,0,1
"278",1,0,1
"279",0,0,1
"280",0,0,1
"281",1,0,1
"282",0,0,1
"283",0,0,1
"284",0,0,1
"285",15,0,1
"286",0,0,1
"287",5,0,1
"288",19,0,1
"289",4,0,1
"290",1,0,1
"291",5,0,1
"292",0,0,1
"293",0,0,1
"294",10,0,1
"295",3,0,1
"296",0,0,1
"297",16,0,1
"298",50,0,1
"299",44,0,1
"300",3,0,1
"301",4,0,1
"302",4,0,1
"303",2,0,1
"304",8,0,1
"305",0,0,1
"306",0,0,1
"307",12,0,1
"308",2,0,1
"309",0,0,1
"310",0,0,1
"311",19,0,1
"312",0,0,1
"313",1,0,1
"314",1,0,1
"315",1,0,1
"316",1,0,1
"317",0,0,1
"318",2,0,1
"319",0,0,1
"320",0,0,1
"321",0,0,1
"322",0,0,1
"323",7,0,1
"324",0,0,1
"325",2,0,1
"326",3,0,1
"327",0,0,1
"328",0,0,1
"329",0,0,1
"330",1,0,1
"331",6,0,1
"332",7,0,1
"333",1,0,1
"334",0,0,1
"335",15,0,1
"336",4,0,1
"337",2,0,1
"338",3,0,1
"339",2,0,1
"340",1,0,1
"341",0,0,1
"342",0,0,1
"343",2,0,1
"344",1,0,1
"345",0,0,1
"346",0,0,1
"347",7,0,1
"348",26,0,1
"349",3,0,1
"350",0,0,1
"351",0,0,1
"352",3,0,1
"353",1,0,1
"354",1,0,1
"355",0,0,1
"356",1,0,1
"357",2,0,1
"358",3,0,1
"359",0,0,1
"360",32,0,1
"361",12,0,1
"362",21,0,1
"363",6,0,1
"364",0,0,1
"365",0,0,1
"366",0,0,1
"367",1,0,1
"368",17,0,1
"369",0,0,1
"370",1,0,1
"371",0,0,1
"372",44,0,1
"373",37,0,1
"374",1,0,1
"375",2,0,1
"376",0,0,1
"377",2,0,1
"378",4,0,1
"379",1,0,1
"380",0,0,1
"381",2,0,1
"382",1,0,1
"383",0,0,1
"384",3,0,1
"385",0,0,1
"386",0,0,1
"387",0,0,1
"388",4,0,1
"389",0,0,1
"390",0,0,1
"391",26,0,1
"392",0,0,1
"393",4,0,1
"394",3,0,1
"395",0,0,1
"396",0,0,1
"397",0,0,1
"398",3,0,1
"399",3,0,1
"400",9,0,1
"401",3,0,1
"402",0,0,1
"403",4,0,1
"404",0,0,1
"405",0,0,1
"406",2,0,1
"407",0,0,1
"408",0,0,1
"409",0,0,1
"410",0,0,1
"411",0,0,1
"412",0,0,1
"413",0,0,1
"414",0,0,1
"415",24,0,1
"416",16,0,1
"417",2,0,1
"418",2,0,1
"419",1,0,1
"420",0,0,1
"421",0,0,1
"422",1,0,1
"423",0,0,1
"424",2,0,1
"425",0,0,1
"426",1,0,1
"427",2,0,1
"428",0,0,1
"429",133,0,1
"430",104,0,1
"431",0,0,1
"432",7,0,1
"433",2,0,1
"434",10,0,1
"435",9,0,1
"436",3,0,1
"437",8,0,1
"438",7,0,1
"439",2,0,1
"440",1,0,1
"441",0,0,1
"442",16,0,1
"443",0,0,1
"444",0,0,1
"445",0,0,1
"446",0,0,1
"447",0,0,1
"448",0,0,1
"449",0,0,1
"450",0,0,1
"451",1,0,1
"452",1,0,1
"453",0,0,1
"454",22,0,1
"455",0,0,1
"456",2,0,1
"457",2,0,1
"458",0,0,1
"459",2,0,1
"460",7,0,1
"461",0,0,1
"462",1,0,1
"463",0,0,1
"464",6,0,1
"465",0,0,1
"466",12,0,1
"467",62,0,1
"468",3,0,1
"469",4,0,1
"470",1,0,1
"471",3,0,1
"472",1,0,1
"473",0,0,1
"474",3,0,1
"475",4,0,1
"476",2,0,1
"477",0,0,1
"478",9,0,1
"479",2,0,1
"480",0,0,1
"481",2,0,1
"482",0,0,1
"483",0,0,1
"484",0,0,1
"485",3,0,1
"486",0,0,1
"487",0,0,1
"488",0,0,1
"489",0,0,1
"490",45,0,1
"491",12,0,1
"492",10,0,1
"493",2,0,1
"494",5,0,1
"495",10,0,1
"496",2,0,1
"497",6,0,1
"498",14,0,1
"499",2,0,1
"500",0,0,1
"501",19,0,1
"502",61,0,1
"503",49,0,1
"504",2,0,1
"505",6,0,1
"506",7,0,1
"507",3,0,1
"508",0,0,1
"509",2,0,1
"510",3,0,1
"511",6,0,1
"512",0,0,1
"513",1,0,1
"514",0,0,1
"515",56,0,1
"516",26,0,1
"517",10,0,1
"518",0,0,1
"519",0,0,1
"520",2,0,1
"521",0,0,1
"522",0,0,1
"523",15,0,1
"524",16,0,1
"525",0,0,1
"526",0,0,1
"527",11,0,1
"528",18,0,1
"529",7,0,1
"530",0,0,1
"531",0,0,1
"532",2,0,1
"533",0,0,1
"534",2,0,1
"535",2,0,1
"536",5,0,1
"537",3,0,1
"538",0,0,1
"539",24,0,1
"540",9,0,1
"541",15,0,1
"542",0,0,1
"543",2,0,1
"544",8,0,1
"545",0,0,1
"546",1,0,1
"547",0,0,1
"548",4,0,1
"549",1,0,1
"550",0,0,1
"551",37,0,1
"552",0,0,1
"553",2,0,1
"554",1,0,1
"555",0,0,1
"556",0,0,1
"557",2,0,1
"558",1,0,1
"559",0,0,1
"560",0,0,1
"561",0,0,1
"562",29,0,1
"563",8,0,1
"564",1,0,1
"565",12,0,1
"566",0,0,1
"567",0,0,1
"568",1,0,1
"569",8,0,1
"570",0,0,1
"571",0,0,1
"572",9,0,1
"573",0,0,1
"574",27,0,1
"575",0,0,1
"576",0,0,1
"577",1,0,1
"578",0,0,1
"579",0,0,1
"580",0,0,1
"581",0,0,1
"582",0,0,1
"583",0,0,1
"584",0,0,1
"585",0,0,1
"586",0,0,1
"587",12,0,1
"588",1,0,1
"589",5,0,1
"590",0,0,1
"591",2,0,1
"592",4,0,1
"593",1,0,1
"594",0,0,1
"595",0,0,1
"596",1,0,1
"597",0,0,1
"598",17,0,1
"599",22,0,1
"600",0,0,1
"601",0,0,1
"602",0,0,1
"603",0,0,1
"604",4,0,1
"605",3,0,1
"606",4,0,1
"607",1,0,1
"608",0,0,1
"609",0,0,1
"610",25,0,1
"611",76,0,1
"612",5,0,1
"613",7,0,1
"614",0,0,1
"615",7,0,1
"616",2,0,1
"617",2,0,1
"618",0,0,1
"619",12,0,1
"620",12,0,1
"621",0,0,1
"622",20,0,1
"623",3,0,1
"624",3,0,1
"625",0,0,1
"626",0,0,1
"627",3,0,1
"628",2,0,1
"629",7,0,1
"630",5,0,1
"631",3,0,1
"632",1,0,1
"633",0,0,1
"634",28,0,1
"635",4,0,1
"636",0,0,1
"637",4,0,1
"638",2,0,1
"639",1,0,1
"640",9,0,1
"641",1,0,1
"642",3,0,1
"643",3,0,1
"644",0,0,1
"645",0,0,1
"646",39,0,1
"647",41,0,1
"648",27,0,1
"649",11,0,1
"650",23,0,1
"651",1,0,1
"652",3,0,1
"653",4,0,1
"654",1,0,1
"655",1,0,1
"656",5,0,1
"657",1,0,1
"658",0,0,1
"659",15,0,1
"660",0,0,1
"661",1,0,1
"662",4,0,1
"663",4,0,1
"664",0,0,1
"665",0,0,1
"666",1,0,1
"667",0,0,1
"668",0,0,1
"669",1,0,1
"670",0,0,1
"671",17,0,1
"672",3,0,1
"673",1,0,1
"674",0,0,1
"675",0,0,1
"676",1,0,1
"677",0,0,1
"678",0,0,1
"679",5,0,1
"680",0,0,1
"681",0,0,1
"682",12,0,1
"683",72,0,1
"684",0,0,1
"685",1,0,1
"686",1,0,1
"687",1,0,1
"688",1,0,1
"689",3,0,1
"690",0,0,1
"691",2,0,1
"692",0,0,1
"693",0,0,1
"694",18,0,1
"695",0,0,1
"696",0,0,1
"697",0,0,1
"698",2,0,1
"699",1,0,1
"700",1,0,1
"701",0,0,1
"702",0,0,1
"703",0,0,1
"704",0,0,1
"705",46,0,1
"706",71,0,1
"707",8,0,1
"708",4,0,1
"709",0,0,1
"710",8,0,1
"711",4,0,1
"712",0,0,1
"713",0,0,1
"714",5,0,1
"715",4,0,1
"716",9,0,1
"717",0,0,1
"718",31,0,1
"719",14,0,1
"720",3,0,1
"721",0,0,1
"722",0,0,1
"723",0,0,1
"724",1,0,1
"725",0,0,1
"726",5,0,1
"727",5,0,1
"728",7,0,1
"729",0,0,1
"730",0,0,1
"731",29,0,1
