"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","cfa",1,0,0,0.8,0,0,0,0,0,0.2,0
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0,0.166666666666667,0.166666666666667,0,0.25,0,0,0.416666666666667,0
"4","arnB",0,1,0,0,0,0,0,0,0,0,0
"5","arnC",0,1,0,0,0,0,0,0,0,0,0
"6","slp",1,0,0,0.476190476190476,0.19047619047619,0,0.0476190476190476,0,0.0476190476190476,0.238095238095238,0
"7","hdeB",1,0,0.0555555555555556,0.444444444444445,0.166666666666667,0,0.0555555555555556,0,0,0.277777777777778,0
"8","hdeD",1,0,0,0.5,0.2,0,0,0,0.05,0.25,0
"9","osmY",1,0,0.15,0.05,0.1,0,0.3,0,0,0.4,0
"10","cbpA",1,0,0.25,0.25,0,0,0,0,0,0.5,0
"11","hdeA",1,0,0.0555555555555556,0.444444444444445,0.166666666666667,0,0.0555555555555556,0,0,0.277777777777778,0
"12","yahO",0,1,0,0,0,0,0,0,0,0,0
"13","yccJ",1,0,0,1,0,0,0,0,0,0,0
"14","asr",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"15","ydiZ",0,1,0,0,0,0,0,0,0,0,0
"16","yebV",0,1,0,0,0,0,0,0,0,0,0
"17","yhiM",1,0,0,0.2,0.4,0,0.2,0,0,0.2,0
"18","wrbA",1,0,0,1,0,0,0,0,0,0,0
"19","ghxQ",0,1,0,0,0,0,0,0,0,0,0
"20","wzzE",0,1,0,0,0,0,0,0,0,0,0
"21","glsA",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"22","ycaC",1,0,0,0,0,0,1,0,0,0,0
"23","gadB",1,0,0.0606060606060606,0.393939393939394,0.272727272727273,0,0.0606060606060606,0,0,0.212121212121212,0
"24","gadA",1,0,0.0344827586206897,0.413793103448276,0.275862068965517,0.0344827586206897,0.0344827586206897,0.0344827586206897,0,0.172413793103448,0
"25","gadE",1,0,0.03125,0.53125,0.1875,0,0,0.125,0,0.125,0
"26","gadX",1,0,0.0434782608695652,0.304347826086957,0.217391304347826,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.217391304347826,0
"27","yiaG",0,1,0,0,0,0,0,0,0,0,0
"28","dps",1,0,0.0714285714285714,0.428571428571428,0,0,0,0.142857142857143,0,0.357142857142857,0
"29","ybaT",1,0,0,1,0,0,0,0,0,0,0
"30","gadW",1,0,0,0.545454545454546,0.272727272727273,0,0,0.0909090909090909,0.0909090909090909,0,0
