"","V1","FBL_number","No_FBL","FBL"
"1","fumB",0,0,1
"2","hybE",0,0,1
"3","hybB",0,0,1
"4","dmsA",0,0,1
"5","hybF",0,0,1
"6","hybO",0,0,1
"7","tdcE",0,0,1
"8","clpA",0,0,1
"9","entF",0,0,1
"10","tdcD",0,0,1
"11","lysU",0,0,1
"12","ynfG",0,0,1
"13","pepE",0,0,1
"14","ansB",0,0,1
"15","ydcZ",0,0,1
"16","hypA",0,0,1
"17","tdcF",0,0,1
"18","phoH",0,0,1
"19","hybD",0,0,1
"20","ynfF",0,0,1
"21","tonB",0,0,1
"22","hybC",0,0,1
"23","hypB",0,0,1
"24","dcuB",0,0,1
"25","frdB",0,0,1
"26","hypC",0,0,1
"27","rsxE",0,0,1
"28","ybdZ",0,0,1
"29","leuA",0,0,1
"30","clpS",0,0,1
"31","icd",0,0,1
"32","sodA",0,0,1
"33","fis",1,0,1
"34","tdcA",0,0,1
"35","frdD",0,0,1
"36","hypD",0,0,1
"37","ydhV",0,0,1
"38","dmsB",0,0,1
"39","entB",0,0,1
"40","fhuF",0,0,1
"41","dcuA",0,0,1
"42","pgl",0,0,1
"43","dmsD",0,0,1
"44","ydjA",0,0,1
"45","fepB",0,0,1
"46","yhbW",0,0,1
"47","mdtI",0,0,1
"48","fsr",0,0,1
"49","kbl",0,0,1
"50","kefB",0,0,1
"51","serA",0,0,1
"52","glpQ",0,0,1
"53","metJ",0,0,1
"54","yceI",0,0,1
"55","smg",0,0,1
"56","ulaC",0,0,1
"57","ynfE",0,0,1
"58","ompW",0,0,1
"59","efeO",0,0,1
"60","yqiA",0,0,1
"61","gltI",0,0,1
"62","dcuC",0,0,1
"63","yfeC",0,0,1
"64","leuD",0,0,1
"65","ycgM",0,0,1
"66","hybG",0,0,1
"67","fes",0,0,1
"68","entA",0,0,1
"69","yoaB",0,0,1
"70","yjjI",0,0,1
"71","ogt",0,0,1
"72","mntH",0,0,1
"73","leuC",0,0,1
"74","shiA",0,0,1
"75","leuB",0,0,1
"76","gcvR",0,0,1
"77","entC",0,0,1
"78","ravA",0,0,1
"79","selA",0,0,1
"80","efeU",0,0,1
"81","ispU",0,0,1
"82","msrA",0,0,1
"83","fadE",0,0,1
"84","ugpC",0,0,1
"85","manZ",0,0,1
"86","ccmD",0,0,1
"87","ydhY",0,0,1
"88","yhjE",0,0,1
"89","fepC",0,0,1
"90","mgsA",0,0,1
"91","sucC",0,0,1
"92","hypE",0,0,1
"93","csrD",0,0,1
"94","pykA",0,0,1
"95","yaeP",0,0,1
"96","trmA",0,0,1
"97","pepD",0,0,1
"98","yciH",0,0,1
"99","galT",0,0,1
"100","yhdH",0,0,1
"101","ynfH",0,0,1
"102","sodB",0,0,1
"103","sstT",0,0,1
"104","nadB",0,0,1
"105","ybjI",0,0,1
"106","purT",0,0,1
"107","fdoI",0,0,1
"108","exbB",0,0,1
"109","yebZ",0,0,1
"110","pnuC",0,0,1
"111","rutE",0,0,1
"112","yeiE",0,0,1
"113","moeA",0,0,1
"114","melA",0,0,1
"115","ilvE",0,0,1
"116","yddA",0,0,1
"117","cysE",0,0,1
"118","sanA",0,0,1
"119","manY",0,0,1
"120","hisQ",0,0,1
"121","dfp",0,0,1
"122","ydiP",0,0,1
"123","ycjY",0,0,1
"124","tdh",0,0,1
"125","ybjJ",0,0,1
"126","yhfK",0,0,1
"127","yibQ",0,0,1
"128","ccmF",0,0,1
"129","nth",0,0,1
"130","recC",0,0,1
"131","aegA",0,0,1
"132","rpsQ",0,0,1
"133","fepD",0,0,1
"134","yfeD",0,0,1
"135","aqpZ",0,0,1
"136","gltL",0,0,1
"137","cycA",0,0,1
"138","aroF",0,0,1
"139","gcvP",0,0,1
"140","yebY",0,0,1
"141","mutM",0,0,1
"142","mdtC",0,0,1
"143","exbD",0,0,1
"144","ydhW",0,0,1
"145","crl",0,0,1
"146","znuB",0,0,1
"147","torD",0,0,1
"148","gltP",0,0,1
"149","agaV",0,0,1
"150","sucB",0,0,1
"151","yafD",0,0,1
"152","ilvM",0,0,1
"153","cdsA",0,0,1
"154","pyrD",0,0,1
"155","glgC",0,0,1
"156","amn",0,0,1
"157","uhpB",0,0,1
"158","ybhG",0,0,1
"159","pck",0,0,1
"160","rimJ",0,0,1
"161","iscA",0,0,1
"162","chaA",0,0,1
"163","ydhR",0,0,1
"164","pflB",0,0,1
"165","ydgJ",0,0,1
"166","acs",0,0,1
"167","asd",0,0,1
"168","tpx",0,0,1
"169","emrD",0,0,1
"170","yjjP",0,0,1
"171","ydiE",0,0,1
"172","glgA",0,0,1
"173","yqaB",0,0,1
"174","ais",0,0,1
"175","aroD",0,0,1
"176","yiiQ",0,0,1
"177","napH",0,0,1
"178","ccmH",0,0,1
"179","ybiV",0,0,1
"180","efp",0,0,1
"181","hemD",0,0,1
"182","pykF",0,0,1
"183","efeB",0,0,1
"184","uspE",0,0,1
"185","ilvI",0,0,1
"186","glpK",0,0,1
"187","eda",0,0,1
"188","pheP",0,0,1
"189","cysK",0,0,1
"190","napF",0,0,1
"191","ynaJ",0,0,1
"192","torA",0,0,1
"193","nanE",0,0,1
"194","thiD",0,0,1
"195","ydhP",0,0,1
"196","galP",0,0,1
"197","yojI",0,0,1
"198","osmC",0,0,1
"199","cadA",0,0,1
"200","yhbS",0,0,1
"201","msrB",0,0,1
"202","ung",0,0,1
"203","zraR",0,0,1
"204","trmH",0,0,1
"205","ybaN",0,0,1
"206","trpA",0,0,1
"207","brnQ",0,0,1
"208","envC",0,0,1
"209","galE",0,0,1
"210","fumC",0,0,1
"211","bfd",0,0,1
"212","yjjW",0,0,1
"213","crr",0,0,1
"214","xseB",0,0,1
"215","wzzE",0,0,1
"216","moaB",0,0,1
"217","slyB",0,0,1
"218","fhuE",0,0,1
"219","hmp",0,0,1
"220","yfeX",0,0,1
"221","gltK",0,0,1
"222","yedE",0,0,1
"223","putP",0,0,1
"224","speC",0,0,1
"225","menC",0,0,1
"226","moaE",0,0,1
"227","exuT",0,0,1
"228","ybjM",0,0,1
"229","iscU",0,0,1
"230","ilvC",0,0,1
"231","ybiT",0,0,1
"232","phoA",0,0,1
"233","yceH",0,0,1
"234","ulaD",0,0,1
"235","napA",0,0,1
"236","cusR",0,0,1
"237","ispA",0,0,1
"238","pldB",0,0,1
"239","yceB",0,0,1
"240","yjaH",0,0,1
"241","dsbA",0,0,1
"242","kefG",0,0,1
"243","adhE",0,0,1
"244","fepG",0,0,1
"245","nrdR",0,0,1
"246","pqqL",0,0,1
"247","ftsZ",0,0,1
"248","glnH",0,0,1
"249","ypeC",0,0,1
"250","yqhD",0,0,1
"251","glnD",0,0,1
"252","thiM",0,0,1
"253","aroG",0,0,1
