"","FBL_number","No_FBL","FBL"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",0,0,1
"5",3,0,1
"6",0,0,1
"7",0,0,1
"8",0,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",1,0,1
"14",0,0,1
"15",0,0,1
"16",0,0,1
"17",0,0,1
"18",3,0,1
"19",0,0,1
"20",1,0,1
"21",0,0,1
"22",0,0,1
"23",4,0,1
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",0,0,1
"29",0,0,1
"30",0,0,1
"31",0,0,1
"32",0,0,1
"33",1,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",1,0,1
"46",0,0,1
"47",1,0,1
"48",0,0,1
"49",0,0,1
"50",0,0,1
"51",0,0,1
"52",0,0,1
"53",0,0,1
"54",2,0,1
"55",0,0,1
"56",2,0,1
"57",0,0,1
"58",3,0,1
"59",4,0,1
"60",0,0,1
"61",3,0,1
"62",0,0,1
"63",0,0,1
"64",0,0,1
"65",0,0,1
"66",0,0,1
"67",2,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",0,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",0,0,1
"79",0,0,1
"80",0,0,1
"81",0,0,1
"82",0,0,1
"83",1,0,1
"84",4,0,1
"85",0,0,1
"86",0,0,1
"87",2,0,1
"88",0,0,1
"89",3,0,1
"90",0,0,1
"91",0,0,1
"92",1,0,1
"93",0,0,1
"94",0,0,1
"95",0,0,1
"96",0,0,1
"97",1,0,1
"98",0,0,1
"99",0,0,1
"100",0,0,1
"101",0,0,1
"102",0,0,1
"103",0,0,1
"104",0,0,1
"105",1,0,1
"106",0,0,1
"107",2,0,1
"108",0,0,1
"109",0,0,1
"110",3,0,1
"111",0,0,1
"112",0,0,1
"113",2,0,1
"114",1,0,1
"115",1,0,1
"116",0,0,1
"117",1,0,1
"118",0,0,1
"119",0,0,1
"120",0,0,1
"121",2,0,1
"122",0,0,1
"123",1,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",0,0,1
"128",5,0,1
"129",0,0,1
"130",2,0,1
"131",3,0,1
"132",0,0,1
"133",1,0,1
"134",3,0,1
"135",0,0,1
"136",0,0,1
"137",1,0,1
"138",3,0,1
"139",0,0,1
"140",2,0,1
"141",2,0,1
"142",0,0,1
"143",0,0,1
"144",0,0,1
"145",1,0,1
"146",2,0,1
"147",0,0,1
"148",1,0,1
"149",0,0,1
"150",3,0,1
"151",0,0,1
"152",3,0,1
"153",0,0,1
"154",0,0,1
"155",0,0,1
"156",2,0,1
"157",0,0,1
"158",2,0,1
"159",0,0,1
"160",0,0,1
"161",1,0,1
"162",0,0,1
"163",0,0,1
"164",2,0,1
"165",0,0,1
"166",0,0,1
"167",0,0,1
"168",0,0,1
"169",0,0,1
"170",3,0,1
"171",4,0,1
"172",1,0,1
"173",1,0,1
"174",0,0,1
"175",0,0,1
"176",0,0,1
"177",0,0,1
