"","V1","Loop_number","No_loop","Loop"
"1","cfa",8,0,1
"2","yeaQ",0,0,1
"3","ompC",43,0,1
"4","arnB",0,0,1
"5","arnC",0,0,1
"6","slp",57,0,1
"7","hdeB",51,0,1
"8","hdeD",41,0,1
"9","osmY",44,0,1
"10","cbpA",8,0,1
"11","hdeA",51,0,1
"12","yahO",0,0,1
"13","yccJ",4,0,1
"14","asr",7,0,1
"15","ydiZ",0,0,1
"16","yebV",0,0,1
"17","yhiM",23,0,1
"18","wrbA",5,0,1
"19","ghxQ",0,0,1
"20","wzzE",0,0,1
"21","glsA",6,0,1
"22","ycaC",1,0,1
"23","gadB",87,0,1
"24","gadA",56,0,1
"25","gadE",84,0,1
"26","gadX",57,0,1
"27","yiaG",2,0,1
"28","dps",34,0,1
"29","ybaT",3,0,1
"30","gadW",53,0,1
"31","aceK",8,0,1
"32","acnA",26,0,1
"33","add",0,0,1
"34","ahpF",6,0,1
"35","alaT",10,0,1
"36","alaU",7,0,1
"37","aroA",0,0,1
"38","aroH",0,0,1
"39","aroP",12,0,1
"40","bcsE",0,0,1
"41","cyaA",0,0,1
"42","cyoB",41,0,1
"43","dadA",0,0,1
"44","dadX",0,0,1
"45","acrR",0,0,1
"46","alx",0,0,1
"47","atpH",0,0,1
"48","bax",0,0,1
"49","bioB",0,0,1
"50","borD",1,0,1
"51","btuB",0,0,1
"52","cirA",9,0,1
"53","cpxA",6,0,1
"54","cpxR",3,0,1
"55","dcuR",3,0,1
"56","artM",3,0,1
"57","asnA",4,0,1
"58","aspA",7,0,1
"59","atpA",0,0,1
"60","atpB",0,0,1
"61","atpC",0,0,1
"62","atpD",0,0,1
"63","atpE",0,0,1
"64","atpF",0,0,1
"65","atpG",0,0,1
"66","atpI",0,0,1
"67","aer",10,0,1
"68","cca",0,0,1
"69","cdd",0,0,1
"70","cheA",1,0,1
"71","cheB",3,0,1
"72","cheR",3,0,1
"73","cheW",1,0,1
"74","cheY",3,0,1
"75","cheZ",3,0,1
"76","clpB",1,0,1
"77","clpX",8,0,1
"78","deoA",2,0,1
"79","deoB",4,0,1
"80","deoC",2,0,1
"81","deoD",2,0,1
"82","dapB",0,0,1
"83","dcyD",0,0,1
"84","dhaM",1,0,1
"85","dhaK",6,0,1
"86","edd",2,0,1
"87","eno",4,0,1
"88","fdoG",2,0,1
"89","fimA",12,0,1
"90","fimC",12,0,1
"91","fimI",12,0,1
"92","flgH",22,0,1
"93","flhA",22,0,1
"94","flhE",22,0,1
"95","fliP",32,0,1
"96","fliQ",32,0,1
"97","fliR",32,0,1
"98","fumA",11,0,1
"99","gapC",0,0,1
"100","dcuS",1,0,1
"101","dppC",10,0,1
"102","dusA",0,0,1
"103","eco",0,0,1
"104","fdhD",0,0,1
"105","fhuD",0,0,1
"106","folP",0,0,1
"107","frdA",16,0,1
"108","frdC",11,0,1
"109","ftnB",5,0,1
"110","fucI",5,0,1
"111","gcvH",7,0,1
"112","carA",23,0,1
"113","coaA",0,0,1
"114","codB",1,0,1
"115","cspD",4,0,1
"116","cvpA",1,0,1
"117","cydA",2,0,1
"118","cydB",2,0,1
"119","cydC",11,0,1
"120","cydD",7,0,1
"121","dnaJ",0,0,1
"122","dnaK",0,0,1
"123","dsbC",12,0,1
"124","fdoH",0,0,1
"125","flgB",22,0,1
"126","flgC",22,0,1
"127","flgD",22,0,1
"128","flgE",22,0,1
"129","flgF",22,0,1
"130","flgG",22,0,1
"131","flgI",22,0,1
"132","flgJ",22,0,1
"133","flgK",0,0,1
