"","Loop_number","No_loop","Loop"
"1",6,0,1
"2",0,0,1
"3",10,0,1
"4",2,0,1
"5",0,0,1
"6",0,0,1
"7",0,0,1
"8",1,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",9,0,1
"13",0,0,1
"14",6,0,1
"15",0,0,1
"16",0,0,1
"17",0,0,1
"18",1,0,1
"19",0,0,1
"20",0,0,1
"21",4,0,1
"22",0,0,1
"23",0,0,1
"24",12,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",2,0,1
"29",0,0,1
"30",0,0,1
"31",1,0,1
"32",1,0,1
"33",0,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",2,0,1
"41",1,0,1
"42",2,0,1
"43",0,0,1
"44",7,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",0,0,1
"50",12,0,1
"51",5,0,1
"52",0,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",0,0,1
"58",0,0,1
"59",0,0,1
"60",1,0,1
"61",0,0,1
"62",0,0,1
"63",0,0,1
"64",0,0,1
"65",0,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",1,0,1
"73",5,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",2,0,1
"79",0,0,1
"80",0,0,1
"81",0,0,1
"82",4,0,1
"83",0,0,1
"84",0,0,1
"85",0,0,1
"86",0,0,1
"87",12,0,1
"88",12,0,1
"89",0,0,1
"90",0,0,1
"91",3,0,1
"92",17,0,1
"93",0,0,1
"94",0,0,1
"95",3,0,1
"96",0,0,1
"97",0,0,1
"98",0,0,1
"99",1,0,1
"100",0,0,1
"101",0,0,1
"102",1,0,1
"103",0,0,1
"104",0,0,1
"105",22,0,1
"106",1,0,1
"107",1,0,1
"108",9,0,1
"109",13,0,1
"110",17,0,1
"111",9,0,1
"112",0,0,1
"113",0,0,1
"114",1,0,1
"115",0,0,1
"116",0,0,1
"117",0,0,1
"118",0,0,1
"119",0,0,1
"120",0,0,1
"121",0,0,1
"122",5,0,1
"123",0,0,1
"124",3,0,1
"125",0,0,1
"126",0,0,1
"127",2,0,1
"128",0,0,1
"129",3,0,1
"130",0,0,1
"131",7,0,1
"132",0,0,1
"133",0,0,1
"134",1,0,1
"135",0,0,1
"136",0,0,1
"137",3,0,1
"138",0,0,1
"139",1,0,1
"140",0,0,1
"141",0,0,1
"142",1,0,1
"143",0,0,1
"144",0,0,1
"145",0,0,1
"146",0,0,1
"147",2,0,1
"148",0,0,1
"149",8,0,1
"150",0,0,1
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",0,0,1
"155",0,0,1
"156",17,0,1
"157",0,0,1
"158",0,0,1
"159",0,0,1
"160",0,0,1
"161",1,0,1
"162",5,0,1
"163",0,0,1
"164",0,0,1
"165",0,0,1
"166",0,0,1
"167",0,0,1
"168",0,0,1
"169",0,0,1
"170",0,0,1
"171",0,0,1
"172",0,0,1
"173",4,0,1
"174",2,0,1
"175",0,0,1
"176",0,0,1
"177",1,0,1
"178",0,0,1
"179",1,0,1
"180",0,0,1
"181",1,0,1
"182",1,0,1
"183",6,0,1
"184",7,0,1
"185",3,0,1
"186",0,0,1
"187",6,0,1
"188",0,0,1
"189",0,0,1
"190",0,0,1
"191",0,0,1
"192",1,0,1
"193",0,0,1
"194",6,0,1
"195",1,0,1
"196",0,0,1
"197",2,0,1
"198",3,0,1
"199",0,0,1
"200",0,0,1
"201",3,0,1
