"","V1","FFL","No_FFL","NonPl_X"
"1","cfa",1,0,0
"2","yeaQ",0,1,0
"3","ompC",1,0,0
"4","slp",1,0,0
"5","hdeB",1,0,0
"6","hdeD",1,0,0
"7","osmY",1,0,0
"8","cbpA",1,0,0
"9","hdeA",1,0,0
"10","yahO",0,1,0
"11","yccJ",1,0,0
"12","asr",1,0,0
"13","ydiZ",0,1,0
"14","yebV",0,1,0
"15","yhiM",1,0,0
"16","wrbA",1,0,0
"17","ycaC",1,0,0
"18","gadB",1,0,0
"19","gadA",1,0,0
"20","yiaG",1,0,0
"21","dps",1,0,0
"22","ybaT",1,0,0
"23","aceK",1,0,0
"24","acnA",1,0,0
"25","add",1,0,0
"26","ahpF",1,0,0
"27","alaT",1,0,0
"28","alaU",1,0,0
"29","aroA",1,0,0
"30","aroH",0,1,0
"31","aroP",1,0,0
"32","bcsE",0,1,0
"33","cyaA",1,0,0
"34","cyoB",1,0,0
"35","dadA",1,0,0
"36","dadX",1,0,0
"37","acrR",1,0,0
"38","atpH",1,0,0
"39","bax",0,1,0
"40","bioB",0,1,0
"41","borD",1,0,0
"42","btuB",1,0,0
"43","cirA",1,0,0
"44","cpxA",1,0,0
"45","cpxR",1,0,0
"46","dcuR",1,0,0
"47","artM",1,0,0
"48","asnA",1,0,0
"49","aspA",1,0,0
"50","atpA",1,0,0
"51","atpB",1,0,0
"52","atpC",0,1,0
"53","atpD",0,1,0
"54","atpE",0,1,0
"55","atpF",0,1,0
"56","atpG",0,1,0
"57","atpI",1,0,0
"58","aer",1,0,0
"59","cca",0,1,0
"60","cdd",1,0,0
"61","cheA",1,0,0
"62","cheB",1,0,0
"63","cheR",1,0,0
"64","cheW",1,0,0
"65","cheY",1,0,0
"66","cheZ",1,0,0
"67","clpB",1,0,0
"68","clpX",1,0,0
"69","deoA",1,0,0
"70","deoB",1,0,0
"71","deoC",1,0,0
"72","deoD",1,0,0
"73","dapB",1,0,0
"74","dcyD",0,1,0
"75","edd",1,0,0
"76","eno",1,0,0
"77","fdoG",1,0,0
"78","fimA",1,0,0
"79","fimC",1,0,0
"80","fimI",1,0,0
"81","flgH",1,0,0
"82","flhA",1,0,0
"83","flhE",1,0,0
"84","fliP",1,0,0
"85","fliQ",1,0,0
"86","fliR",1,0,0
"87","fumA",1,0,0
"88","gapC",0,1,0
"89","dcuS",1,0,0
"90","dppC",1,0,0
"91","dusA",0,1,0
"92","eco",0,1,0
"93","fdhD",0,1,0
"94","fhuD",1,0,0
"95","folP",0,1,0
"96","frdA",1,0,0
"97","frdC",1,0,0
"98","ftnB",1,0,0
"99","fucI",1,0,0
"100","gcvH",1,0,0
"101","carA",1,0,0
"102","coaA",0,1,0
"103","codB",1,0,0
"104","cspD",1,0,0
"105","cvpA",1,0,0
"106","cydA",1,0,0
"107","cydB",1,0,0
"108","cydC",1,0,0
"109","cydD",1,0,0
"110","dnaJ",0,1,0
"111","dnaK",0,1,0
"112","dsbC",1,0,0
"113","fdoH",0,1,0
"114","flgB",1,0,0
"115","flgC",1,0,0
"116","flgD",1,0,0
"117","flgE",1,0,0
"118","flgF",1,0,0
"119","flgG",1,0,0
"120","flgI",1,0,0
"121","flgJ",1,0,0
"122","flgK",0,1,0
"123","flgL",0,1,0
"124","gatA",1,0,0
"125","gatB",1,0,0
"126","gatC",1,0,0
"127","gatD",1,0,0
"128","gatZ",1,0,0
"129","glcC",1,0,0
"130","gltA",1,0,0
"131","gltB",1,0,0
"132","gltD",1,0,0
"133","gpmA",1,0,0
"134","grxA",0,1,0
"135","gshA",0,1,0
"136","gshB",0,1,0
"137","hemB",1,0,0
"138","hsdR",0,1,0
"139","hsdS",0,1,0
"140","hslJ",1,0,0
"141","iap",0,1,0
"142","idi",0,1,0
"143","ispF",0,1,0
"144","kgtP",1,0,0
"145","lipA",0,1,0
"146","lldD",1,0,0
"147","lpxD",1,0,0
"148","lysC",1,0,0
"149","map",1,0,0
"150","marB",1,0,0
"151","marR",1,0,0
"152","mdaB",1,0,0
"153","mdtG",0,1,0
"154","menF",0,1,0
"155","metN",1,0,0
"156","mltC",0,1,0
"157","mqo",1,0,0
"158","murE",1,0,0
"159","murF",1,0,0
"160","nfsA",1,0,0
"161","nuoC",1,0,0
"162","nuoN",1,0,0
"163","pdhR",1,0,0
"164","pdxY",0,1,0
"165","proP",1,0,0
"166","rbsA",1,0,0
"167","rbsC",1,0,0
"168","rcsA",1,0,0
"169","rimI",0,1,0
"170","rpoE",1,0,0
"171","rseA",1,0,0
"172","rseB",1,0,0
"173","sdhA",1,0,0
"174","sdhB",1,0,0
"175","serV",0,1,0
"176","gcvT",1,0,0
"177","glgS",1,0,0
"178","glpA",1,0,0
"179","hflC",1,0,0
"180","hflK",1,0,0
"181","hflX",1,0,0
"182","htpX",1,0,0
"183","ilvB",1,0,0
"184","ilvG",0,1,0
"185","ilvN",1,0,0
"186","ivbL",1,0,0
"187","katG",1,0,0
"188","maa",0,1,0
"189","manX",1,0,0
"190","mhpC",1,0,0
"191","miaA",1,0,0
"192","mutL",1,0,0
"193","nadA",0,1,0
"194","nmpC",0,1,0
"195","nrdD",1,0,0
"196","nrdG",1,0,0
"197","yjdM",0,1,0
"198","pitA",1,0,0
"199","pntA",1,0,0
"200","ppiA",1,0,0
"201","pppA",0,1,0
"202","proV",1,0,0
"203","purD",1,0,0
"204","purL",1,0,0
"205","purN",1,0,0
"206","putA",1,0,0
"207","recR",0,1,0
"208","rpoH",1,0,0
"209","rzpD",0,1,0
"210","sdaB",0,1,0
"211","sdaC",0,1,0
"212","secD",0,1,0
"213","dedA",0,1,0
"214","dinI",1,0,0
"215","dinJ",1,0,0
"216","eptB",1,0,0
"217","fadL",1,0,0
"218","folD",0,1,0
"219","fucR",1,0,0
"220","glmU",0,1,0
"221","glpB",1,0,0
"222","glpC",1,0,0
"223","flgM",1,0,0
"224","flgN",1,0,0
"225","fliA",1,0,0
"226","fliC",1,0,0
"227","fliD",1,0,0
"228","fliE",1,0,0
"229","fliF",1,0,0
"230","fliG",1,0,0
"231","fliH",1,0,0
"232","fliI",1,0,0
"233","fliJ",1,0,0
"234","fliK",1,0,0
"235","fliL",1,0,0
"236","fliM",1,0,0
"237","fliN",1,0,0
"238","fliO",1,0,0
"239","glpX",1,0,0
"240","glyA",1,0,0
"241","hisF",1,0,0
